,arquivo,convertida
1,20210417_153013.jpg,20210417_153013_gray.jpg
2,20210417_153013.jpg,20210417_153013_grad.jpg
3,20210417_153013.jpg,20210417_153013_excgrad.jpg
4,20210417_153013.jpg,20210417_153013_log.jpg
5,20210417_153013.jpg,20210417_153013_exp.jpg
6,20210417_153013.jpg,20210417_153013_mean.jpg
8,20210417_153014(0).jpg,20210417_153014(0)_gray.jpg
9,20210417_153014(0).jpg,20210417_153014(0)_grad.jpg
10,20210417_153014(0).jpg,20210417_153014(0)_excgrad.jpg
11,20210417_153014(0).jpg,20210417_153014(0)_log.jpg
12,20210417_153014(0).jpg,20210417_153014(0)_exp.jpg
13,20210417_153014(0).jpg,20210417_153014(0)_mean.jpg
15,20210417_153014.jpg,20210417_153014_gray.jpg
16,20210417_153014.jpg,20210417_153014_grad.jpg
17,20210417_153014.jpg,20210417_153014_excgrad.jpg
18,20210417_153014.jpg,20210417_153014_log.jpg
19,20210417_153014.jpg,20210417_153014_exp.jpg
20,20210417_153014.jpg,20210417_153014_mean.jpg
22,20210417_153025(0).jpg,20210417_153025(0)_gray.jpg
23,20210417_153025(0).jpg,20210417_153025(0)_grad.jpg
24,20210417_153025(0).jpg,20210417_153025(0)_excgrad.jpg
25,20210417_153025(0).jpg,20210417_153025(0)_log.jpg
26,20210417_153025(0).jpg,20210417_153025(0)_exp.jpg
27,20210417_153025(0).jpg,20210417_153025(0)_mean.jpg
29,20210417_153025.jpg,20210417_153025_gray.jpg
30,20210417_153025.jpg,20210417_153025_grad.jpg
31,20210417_153025.jpg,20210417_153025_excgrad.jpg
32,20210417_153025.jpg,20210417_153025_log.jpg
33,20210417_153025.jpg,20210417_153025_exp.jpg
34,20210417_153025.jpg,20210417_153025_mean.jpg
36,20210417_153026.jpg,20210417_153026_gray.jpg
37,20210417_153026.jpg,20210417_153026_grad.jpg
38,20210417_153026.jpg,20210417_153026_excgrad.jpg
39,20210417_153026.jpg,20210417_153026_log.jpg
40,20210417_153026.jpg,20210417_153026_exp.jpg
41,20210417_153026.jpg,20210417_153026_mean.jpg
43,20210417_153036.jpg,20210417_153036_gray.jpg
44,20210417_153036.jpg,20210417_153036_grad.jpg
45,20210417_153036.jpg,20210417_153036_excgrad.jpg
46,20210417_153036.jpg,20210417_153036_log.jpg
47,20210417_153036.jpg,20210417_153036_exp.jpg
48,20210417_153036.jpg,20210417_153036_mean.jpg
50,20210417_153037(0).jpg,20210417_153037(0)_gray.jpg
51,20210417_153037(0).jpg,20210417_153037(0)_grad.jpg
52,20210417_153037(0).jpg,20210417_153037(0)_excgrad.jpg
53,20210417_153037(0).jpg,20210417_153037(0)_log.jpg
54,20210417_153037(0).jpg,20210417_153037(0)_exp.jpg
55,20210417_153037(0).jpg,20210417_153037(0)_mean.jpg
57,20210417_153037.jpg,20210417_153037_gray.jpg
58,20210417_153037.jpg,20210417_153037_grad.jpg
59,20210417_153037.jpg,20210417_153037_excgrad.jpg
60,20210417_153037.jpg,20210417_153037_log.jpg
61,20210417_153037.jpg,20210417_153037_exp.jpg
62,20210417_153037.jpg,20210417_153037_mean.jpg
64,20210417_153046.jpg,20210417_153046_gray.jpg
65,20210417_153046.jpg,20210417_153046_grad.jpg
66,20210417_153046.jpg,20210417_153046_excgrad.jpg
67,20210417_153046.jpg,20210417_153046_log.jpg
68,20210417_153046.jpg,20210417_153046_exp.jpg
69,20210417_153046.jpg,20210417_153046_mean.jpg
71,20210417_153047.jpg,20210417_153047_gray.jpg
72,20210417_153047.jpg,20210417_153047_grad.jpg
73,20210417_153047.jpg,20210417_153047_excgrad.jpg
74,20210417_153047.jpg,20210417_153047_log.jpg
75,20210417_153047.jpg,20210417_153047_exp.jpg
76,20210417_153047.jpg,20210417_153047_mean.jpg
78,20210417_153048.jpg,20210417_153048_gray.jpg
79,20210417_153048.jpg,20210417_153048_grad.jpg
80,20210417_153048.jpg,20210417_153048_excgrad.jpg
81,20210417_153048.jpg,20210417_153048_log.jpg
82,20210417_153048.jpg,20210417_153048_exp.jpg
83,20210417_153048.jpg,20210417_153048_mean.jpg
85,20210417_153111(0).jpg,20210417_153111(0)_gray.jpg
86,20210417_153111(0).jpg,20210417_153111(0)_grad.jpg
87,20210417_153111(0).jpg,20210417_153111(0)_excgrad.jpg
88,20210417_153111(0).jpg,20210417_153111(0)_log.jpg
89,20210417_153111(0).jpg,20210417_153111(0)_exp.jpg
90,20210417_153111(0).jpg,20210417_153111(0)_mean.jpg
92,20210417_153111.jpg,20210417_153111_gray.jpg
93,20210417_153111.jpg,20210417_153111_grad.jpg
94,20210417_153111.jpg,20210417_153111_excgrad.jpg
95,20210417_153111.jpg,20210417_153111_log.jpg
96,20210417_153111.jpg,20210417_153111_exp.jpg
97,20210417_153111.jpg,20210417_153111_mean.jpg
99,20210417_153112.jpg,20210417_153112_gray.jpg
100,20210417_153112.jpg,20210417_153112_grad.jpg
101,20210417_153112.jpg,20210417_153112_excgrad.jpg
102,20210417_153112.jpg,20210417_153112_log.jpg
103,20210417_153112.jpg,20210417_153112_exp.jpg
104,20210417_153112.jpg,20210417_153112_mean.jpg
106,20210417_153809(0).jpg,20210417_153809(0)_gray.jpg
107,20210417_153809(0).jpg,20210417_153809(0)_grad.jpg
108,20210417_153809(0).jpg,20210417_153809(0)_excgrad.jpg
109,20210417_153809(0).jpg,20210417_153809(0)_log.jpg
110,20210417_153809(0).jpg,20210417_153809(0)_exp.jpg
111,20210417_153809(0).jpg,20210417_153809(0)_mean.jpg
113,20210417_153809.jpg,20210417_153809_gray.jpg
114,20210417_153809.jpg,20210417_153809_grad.jpg
115,20210417_153809.jpg,20210417_153809_excgrad.jpg
116,20210417_153809.jpg,20210417_153809_log.jpg
117,20210417_153809.jpg,20210417_153809_exp.jpg
118,20210417_153809.jpg,20210417_153809_mean.jpg
120,20210417_153810.jpg,20210417_153810_gray.jpg
121,20210417_153810.jpg,20210417_153810_grad.jpg
122,20210417_153810.jpg,20210417_153810_excgrad.jpg
123,20210417_153810.jpg,20210417_153810_log.jpg
124,20210417_153810.jpg,20210417_153810_exp.jpg
125,20210417_153810.jpg,20210417_153810_mean.jpg
127,20210417_153819.jpg,20210417_153819_gray.jpg
128,20210417_153819.jpg,20210417_153819_grad.jpg
129,20210417_153819.jpg,20210417_153819_excgrad.jpg
130,20210417_153819.jpg,20210417_153819_log.jpg
131,20210417_153819.jpg,20210417_153819_exp.jpg
132,20210417_153819.jpg,20210417_153819_mean.jpg
134,20210417_153820.jpg,20210417_153820_gray.jpg
135,20210417_153820.jpg,20210417_153820_grad.jpg
136,20210417_153820.jpg,20210417_153820_excgrad.jpg
