,arquivo,classe,objecto,repeticao,fundo,iluminacao,local,resolucao,tamanho
0,20210417_153013.jpg,óculos,óculos gucci,1,branco_2,dia,interno,2560x1440,1144814.0
1,20210417_153014(0).jpg,óculos,óculos gucci,2,branco_2,dia,interno,2560x1440,1128321.0
2,20210417_153014.jpg,óculos,óculos gucci,3,branco_2,dia,interno,2560x1440,1118719.0
3,20210417_153025(0).jpg,óculos,óculos dior,1,branco_2,dia,interno,2560x1440,1084526.0
4,20210417_153025.jpg,óculos,óculos dior,2,branco_2,dia,interno,2560x1440,1135350.0
5,20210417_153026.jpg,óculos,óculos dior,3,branco_2,dia,interno,2560x1440,1082926.0
6,20210417_153036.jpg,óculos,óculos valentino,1,branco_2,dia,interno,2560x1440,1113854.0
7,20210417_153037(0).jpg,óculos,óculos valentino,2,branco_2,dia,interno,2560x1440,1089914.0
8,20210417_153037.jpg,óculos,óculos valentino,3,branco_2,dia,interno,2560x1440,1056494.0
9,20210417_153046.jpg,óculos,óculos prada,1,branco_2,dia,interno,2560x1440,1061380.0
10,20210417_153047.jpg,óculos,óculos prada,2,branco_2,dia,interno,2560x1440,1049325.0
11,20210417_153048.jpg,óculos,óculos prada,3,branco_2,dia,interno,2560x1440,1081046.0
12,20210417_153111(0).jpg,óculos,óculos cavalli,1,branco_2,dia,interno,2560x1440,1090412.0
13,20210417_153111.jpg,óculos,óculos cavalli,2,branco_2,dia,interno,2560x1440,1094228.0
14,20210417_153112.jpg,óculos,óculos cavalli,3,branco_2,dia,interno,2560x1440,1106150.0
15,20210417_153809(0).jpg,necessaire,listrada,1,branco_2,dia,interno,2560x1440,1234723.0
16,20210417_153809.jpg,necessaire,listrada,2,branco_2,dia,interno,2560x1440,1177396.0
17,20210417_153810.jpg,necessaire,listrada,3,branco_2,dia,interno,2560x1440,1217432.0
18,20210417_153819.jpg,necessaire,creme,1,branco_2,dia,interno,2560x1440,1082964.0
19,20210417_153820.jpg,necessaire,creme,2,branco_2,dia,interno,2560x1440,1134902.0
20,20210417_153821.jpg,necessaire,creme,3,branco_2,dia,interno,2560x1440,1124417.0
21,20210417_153835.jpg,necessaire,vermelha,1,branco_2,dia,interno,2560x1440,1131113.0
22,20210417_153836.jpg,necessaire,vermelha,2,branco_2,dia,interno,2560x1440,1191536.0
23,20210417_153837.jpg,necessaire,vermelha,3,branco_2,dia,interno,2560x1440,1186311.0
24,20210417_153849.jpg,necessaire,estrela,1,branco_2,dia,interno,2560x1440,1021538.0
25,20210417_153850.jpg,necessaire,estrela,2,branco_2,dia,interno,2560x1440,1047681.0
26,20210417_153851.jpg,necessaire,estrela,3,branco_2,dia,interno,2560x1440,1055285.0
27,20210417_154406(0).jpg,colher,grande,1,branco_2,dia,interno,2560x1440,1193651.0
28,20210417_154406.jpg,colher,grande,2,branco_2,dia,interno,2560x1440,1209751.0
29,20210417_154407.jpg,colher,grande,3,branco_2,dia,interno,2560x1440,1131876.0
30,20210417_154415(0).jpg,colher,média detalhe,1,branco_2,dia,interno,2560x1440,1082124.0
31,20210417_154415.jpg,colher,média detalhe,2,branco_2,dia,interno,2560x1440,1220519.0
32,20210417_154416.jpg,colher,média detalhe,3,branco_2,dia,interno,2560x1440,1163729.0
33,20210417_154424(0).jpg,colher,média,1,branco_2,dia,interno,2560x1440,1202993.0
34,20210417_154424.jpg,colher,média,2,branco_2,dia,interno,2560x1440,1178310.0
35,20210417_154425.jpg,colher,média,3,branco_2,dia,interno,2560x1440,1188557.0
36,20210417_154432.jpg,colher,rosa,1,branco_2,dia,interno,2560x1440,1192550.0
37,20210417_154433.jpg,colher,rosa,2,branco_2,dia,interno,2560x1440,1218140.0
38,20210417_154434.jpg,colher,rosa,3,branco_2,dia,interno,2560x1440,1218079.0
39,20210417_154444(0).jpg,colher,preta,1,branco_2,dia,interno,2560x1440,1246133.0
40,20210417_154444.jpg,colher,preta,2,branco_2,dia,interno,2560x1440,1210591.0
41,20210417_154445.jpg,colher,preta,3,branco_2,dia,interno,2560x1440,1218002.0
42,20210417_154555.jpg,xícara,bola,1,branco_2,dia,interno,2560x1440,1082029.0
43,20210417_154557.jpg,xícara,bola,2,branco_2,dia,interno,2560x1440,1149323.0
44,20210417_154558.jpg,xícara,bola,3,branco_2,dia,interno,2560x1440,1133455.0
45,20210417_154611(0).jpg,xícara,sorrir,1,branco_2,dia,interno,2560x1440,1057147.0
46,20210417_154611.jpg,xícara,sorrir,2,branco_2,dia,interno,2560x1440,1034536.0
47,20210417_154612.jpg,xícara,sorrir,3,branco_2,dia,interno,2560x1440,1031133.0
48,20210417_154621(0).jpg,xícara,azul,1,branco_2,dia,interno,2560x1440,961757.0
49,20210417_154621.jpg,xícara,azul,2,branco_2,dia,interno,2560x1440,957143.0
50,20210417_154622.jpg,xícara,azul,3,branco_2,dia,interno,2560x1440,967606.0
51,20210417_154631.jpg,xícara,flor,1,branco_2,dia,interno,2560x1440,1073803.0
52,20210417_154632.jpg,xícara,flor,2,branco_2,dia,interno,2560x1440,1043252.0
53,20210417_154633.jpg,xícara,flor,3,branco_2,dia,interno,2560x1440,1035811.0
